"","species","Mean","SD","q.025","q.05","q.25","q.75","q.95","q.975","calibration","SP"
"107","Blepsias cirrhosus",0.110458707364144,0.000158327887347276,0.110146614645088,0.110211535808935,0.110365795764889,0.110545814557392,0.110712904572143,0.110790664076056,"COM12","Blepsias cirrhosus"
"108","Gasterosteus aculeatus",0.111700206989696,0.000322541375250848,0.110987595300576,0.111203124425348,0.111591014607165,0.111808756617157,0.112173360335817,0.112413958024743,"COM12","Gasterosteus aculeatus"
"109","Hexagrammos",0.110968035034937,0.000149141944728116,0.110675305797157,0.110743084041655,0.110891047825174,0.111049517348409,0.111186982293476,0.111253986351946,"COM12","Hexagrammos"
"110","Oncorhynchus gorbuscha",0.111295598734456,0.00040047561080302,0.110570942016512,0.110773309046425,0.111136638125541,0.111480600151648,0.111814366211333,0.111993738687164,"COM12","Oncorhynchus gorbuscha"
"111","Ophiodon elongatus",0.111883377293887,0.000232556914896333,0.111425652402295,0.111539586712463,0.111755954640225,0.112002835651615,0.112232519540507,0.112358937700682,"COM12","Ophiodon elongatus"
"112","Pholis laeta",0.111033008279768,0.00017290797216573,0.110703443505085,0.110771010507463,0.11093564640474,0.111125104066193,0.111300281062939,0.111388300547911,"COM12","Pholis laeta"
"113","Sebastes 1",0.110909637859406,0.000196810736041371,0.110529799235308,0.110615279462853,0.110801399380546,0.111012573813356,0.111204833789396,0.111301229196932,"COM12","Sebastes 1"
"114","Syngnathus leptorhynchus",0.111174754759291,0.000172781862620024,0.110848849628123,0.11092655598201,0.111087035237469,0.111259284147416,0.111438393676464,0.111527746572518,"COM12","Syngnathus leptorhynchus"
"115","zRefSpecies_Ammodytes personatus",0.110576673684416,9.28164294101126e-05,0.110398140114501,0.110434028064582,0.110515219101332,0.110634542545806,0.110726189011399,0.110761731347251,"COM12","Ammodytes personatus"
"116","Blepsias cirrhosus",0.124566532469196,0.000354036688004287,0.123847831786455,0.12400801812491,0.124374181412851,0.124753810550887,0.125107496232749,0.125278778569828,"COM13","Blepsias cirrhosus"
"117","Cymatogaster aggregata",0.125609661773739,0.000233587358857881,0.125136407586387,0.12525371784708,0.125492106820627,0.125731979375665,0.125962667951465,0.126071531987221,"COM13","Cymatogaster aggregata"
"118","Gasterosteus aculeatus",0.124871595822914,0.000742585663175543,0.123302160761669,0.123770441362299,0.124591093404515,0.125145899235746,0.12592478077691,0.126407422342611,"COM13","Gasterosteus aculeatus"
"119","Hexagrammos",0.125466851765059,0.000231320931187576,0.124990337005618,0.125115277600901,0.125345236200797,0.125595104805178,0.125822461121719,0.125924875918614,"COM13","Hexagrammos"
"120","Oncorhynchus kisutch",0.124565314746773,0.000346868676188841,0.123819043357209,0.124001266647711,0.124386224830094,0.124760020833057,0.125090708064763,0.125226617395852,"COM13","Oncorhynchus kisutch"
"121","Pleuronectidae 1",0.125499832317468,0.000584405925547352,0.124628513471102,0.124893678358777,0.125305181176773,0.125635028169643,0.126129181444465,0.12646881160362,"COM13","Pleuronectidae 1"
"122","Sebastes 1",0.125004016230545,0.000590098495137939,0.123698202633024,0.12420093698113,0.124815507884388,0.125225513227214,0.125759950942994,0.126084436577191,"COM13","Sebastes 1"
"123","Sebastes 2",0.124416194874306,0.000186399764344289,0.124040393686741,0.124127428207887,0.124313922349538,0.124520177657605,0.124701774035401,0.124781341242363,"COM13","Sebastes 2"
